variant,n_train,rho_real,qini_real,degenerate
size_25,11200,0.8340501471931179,69.34420055050089,0
size_50,22400,0.9143165135182674,40.32130731809525,0
size_75,33600,0.9678845157634457,61.99956066257096,0
size_100,44800,1.0,66.52209703103279,0
