variant,epsilon,rep,spearman_rho,spearman_p,qini_coef,auuc,n_synth,treat_ratio_synth,conv_rate_synth,is_degenerate
size_25,1.0,6,-0.1703146356468381,6.536010413519404e-125,-25.054841349938442,0.05064591054558662,11189,0.6684243453391724,0.009116096165877201,0
size_25,1.0,7,-0.028980874009121187,5.912155455944936e-05,-24.931783092388173,0.0498986676325114,11203,0.6642863518700348,0.005712755511916451,0
size_25,1.0,8,-0.0665874151474511,2.5523120300559455e-20,-36.94946603304089,0.050161037101687865,11204,0.6661906461977865,0.009460906818993217,0
size_25,1.0,9,-0.04928658445724072,8.312363953776197e-12,-28.021504081851162,0.04856055794437488,11198,0.6661010894802644,0.009376674406143955,0
size_25,2.0,0,-0.1670472653566836,3.576752684452941e-120,-30.474845586964932,0.0505555586101006,11197,0.6666071269089935,0.009377511833526838,0
size_25,2.0,1,-0.25348990164599194,3.072664646255546e-279,-27.901260085412787,0.05034354869499948,11205,0.6666666666666666,0.00892458723784025,0
size_25,2.0,2,-0.040602927443466566,1.8224654285572673e-08,-28.692742880505648,0.049693131236398166,11197,0.6675895329106011,0.008752344377958382,0
size_25,2.0,3,-0.2341732974515387,1.8998610956076913e-237,-43.09341079847627,0.048729033947474465,11201,0.6669047406481564,0.008927774305865548,0
size_25,2.0,4,-0.08543171361497319,1.9401188901770952e-32,-37.43871594646333,0.04786227227403745,11191,0.6673219551425252,0.008578321865785006,0
size_25,2.0,5,0.012323423252498097,0.08772223581694179,-23.42817966555623,0.0511797899383419,11194,0.6668751116669644,0.009558692156512418,0
size_25,2.0,6,-0.2693603713173701,0.0,-40.53926246033643,0.048415974188917785,11195,0.6677087985707906,0.009289861545332737,0
size_25,2.0,7,-0.11829493903303662,8.648381597036656e-61,-35.85151020286912,0.04978426160906332,11196,0.6657734905323329,0.007681314755269739,0
size_25,2.0,8,-0.050924089439256796,1.6605953932218722e-12,-25.843078363882398,0.05122648727729731,11202,0.6665773968934119,0.00919478664524192,0
size_25,2.0,9,-0.1683216995651837,5.210561093405575e-122,-35.84689481464568,0.0502011142223528,11204,0.6669046769011068,0.009460906818993217,0
size_25,5.0,0,-0.2481533318397859,2.5477431491233524e-267,-30.226815374308444,0.04989740479725232,11198,0.6669048044293624,0.009198071084122164,0
size_25,5.0,1,-0.29151169594588705,0.0,-43.91793301902197,0.04851790198673867,11202,0.666934475986431,0.00874843777896804,0
size_25,5.0,2,-0.22330994550559066,1.4520785232372536e-215,-43.29932090315879,0.04890555633624519,11198,0.667172709412395,0.008840864440078585,0
size_25,5.0,3,-0.18345618777622913,5.957891975065817e-145,-33.061564307038964,0.050309713129538226,11200,0.6670535714285715,0.008571428571428572,0
size_25,5.0,4,-0.07965365266933237,2.0970348136902965e-28,-36.89590126321235,0.04789128027833782,11195,0.6671728450200982,0.008753907994640464,0
size_25,5.0,5,-0.13256313967296984,5.335412300050323e-76,-27.961916793243176,0.05123878731749142,11196,0.6669346195069668,0.008931761343336906,0
size_25,5.0,6,-0.2469397310320651,1.192873124344046e-264,-39.820800360225405,0.0486779411280313,11197,0.6675002232740913,0.0091095829239975,0
size_25,5.0,7,-0.13819633407395396,1.7061563733329605e-82,-32.733121273546885,0.05076074784934808,11198,0.6665475977853188,0.008305054474013217,0
size_25,5.0,8,-0.24406906158106845,2.1605709291241565e-258,-39.165846752538016,0.04895262335447147,11201,0.6669047406481564,0.008927774305865548,0
size_25,5.0,9,-0.24298643693759125,4.7127948567320076e-256,-40.60916870635447,0.04842000264981073,11201,0.6670832961342738,0.009195607535041514,0
size_25,10.0,0,-0.1730452682878593,6.040912469028415e-129,-16.39434677481762,0.05146220697425346,11199,0.6671131351013483,0.009107956067506027,0
size_25,10.0,1,-0.2751411822554182,0.0,-37.12419412460446,0.04926874588817802,11201,0.6670832961342738,0.008838496562806893,0
size_25,10.0,2,-0.2063910692649003,9.391813111876684e-184,-37.32562017324898,0.049241766265937424,11198,0.667262011073406,0.00893016610108948,0
size_25,10.0,3,-0.16777829577307804,3.175342881392846e-121,-31.761957287333644,0.05101777335567699,11200,0.6671428571428571,0.008839285714285714,0
size_25,10.0,4,-0.27750278248272814,0.0,-44.92806514076375,0.048016646875924295,11198,0.6670834077513842,0.00893016610108948,0
size_25,10.0,5,-0.148662243166719,2.6395331921761e-95,-26.938463835572065,0.05117897158695931,11197,0.6669643654550326,0.00893096365097794,0
size_25,10.0,6,-0.28164662487927783,0.0,-46.919980393980836,0.04772941502599568,11199,0.6672024287882846,0.009018662380569694,0
size_25,10.0,7,-0.18498556913976896,2.1873110320935068e-147,-35.202316449590626,0.05004515407486374,11199,0.6668452540405393,0.008482900258951692,0
size_25,10.0,8,-0.26591475445290963,4.1333531795219823e-308,-43.777670245208014,0.04838705619852872,11200,0.6670535714285715,0.008928571428571428,0
size_25,10.0,9,-0.2768071160959885,0.0,-40.344421782693644,0.04844141219986863,11200,0.6671428571428571,0.009017857142857143,0
size_25,inf,0,-0.258958792614667,9.42101508875677e-292,-33.85621783631791,0.049516008884145805,11199,0.6671131351013483,0.00866148763282436,0
size_25,inf,1,-0.2655206511146703,3.600724897612252e-307,-43.66365514669718,0.048393262894319035,11200,0.6671428571428571,0.009107142857142857,0
size_25,inf,2,-0.21266560133792817,3.1258313330685166e-195,-38.16093039472355,0.049083870169007074,11199,0.667023841414412,0.00892936869363336,0
size_25,inf,3,-0.13420234338470471,7.343427067030762e-78,-33.1691441284741,0.05115121938140785,11200,0.6671428571428571,0.00919642857142857,0
size_25,inf,4,-0.23410008435045623,2.691960141804853e-237,-42.73613096945809,0.04831614384269887,11199,0.6671131351013483,0.009018662380569694,0
size_25,inf,5,-0.10640158807643602,1.8452952081502402e-49,-24.815704202395352,0.051766362740547564,11199,0.6671131351013483,0.009018662380569694,0
size_25,inf,6,-0.24477290848860947,6.424338284452277e-260,-43.474743179129916,0.0484750990381824,11199,0.6672024287882846,0.009018662380569694,0
size_25,inf,7,-0.16255837357015734,8.0445799348846e-114,-26.492834969383125,0.051584595581166966,11199,0.6671131351013483,0.009107956067506027,0
size_25,inf,8,-0.2597400297232901,1.4509904445121357e-293,-46.099735850324976,0.048170814755025514,11200,0.6671428571428571,0.009017857142857143,0
size_25,inf,9,-0.2639075375432543,2.4410690543324826e-303,-35.99893996164781,0.04865713474655176,11200,0.6671428571428571,0.008928571428571428,0
size_50,0.1,0,0.4056448587988311,0.0,-23.155890522115726,0.05014925933216847,22387,0.659400544959128,0.018805556796355028,1
size_50,0.1,1,0.37698526839651714,0.0,0.3183492169710007,0.05513252774449747,22485,0.6622637313764732,0.009873248832555036,1
size_50,0.1,2,0.4210730911680477,0.0,-14.511849993628687,0.05265989644901101,22345,0.6679794137390915,0.011277690758558962,1
size_50,0.1,3,0.1038127241172504,3.7216646191086575e-47,-42.564010759858206,0.050117074511942084,22338,0.6640254275226072,0.0078789506670248,1
size_50,0.1,4,0.24039493794589392,1.6752729754905393e-250,17.35800606473265,0.054560627665411136,22217,0.6644461448440383,0.010217401089255975,0
size_50,0.1,5,0.3466174712217715,0.0,-10.769520614071666,0.05253171098523937,22329,0.6685924134533566,0.017958708406108647,1
size_50,0.1,6,0.5467467769178217,0.0,17.42474157656477,0.05947912714174349,22420,0.6734165923282783,0.016770740410347904,1
size_50,0.1,7,0.4646728559264666,0.0,4.638127453195352,0.05409499056939705,22383,0.6516105973283295,0.0034847875619890096,1
size_50,0.1,8,0.3098495842040015,0.0,-15.784646485808594,0.05130123094843706,22434,0.6561023446554337,0.013907461888205403,1
size_50,0.1,9,0.3059845072080025,0.0,-9.86548613624609,0.050228717103311685,22442,0.661171018625791,0.017912841992692274,1
size_50,0.5,0,-0.20042878873524728,3.417461636713354e-173,-27.601259850890983,0.05544903875356832,22403,0.6670088827389189,0.009418381466767843,0
size_50,0.5,1,-0.2092308212060129,6.675304712217211e-189,-23.729380651485656,0.051076949035754673,22418,0.6663395485770363,0.009947363725577661,0
size_50,0.5,2,-0.08864365526060766,8.382230286382853e-35,-22.93673462846664,0.051598797522110905,22395,0.6670685420852869,0.009421745925429784,0
size_50,0.5,3,-0.17295621005072062,8.198737365382975e-129,-54.36767852382616,0.052969297208544396,22396,0.666860153598857,0.00705483121986069,0
size_50,0.5,4,-0.09530719602724942,5.478325794263939e-40,-19.374536721807942,0.04912136006719221,22368,0.6675608011444921,0.008181330472103005,0
size_50,0.5,5,-0.12467833749811567,2.2467962447579132e-67,-41.88939484786965,0.048062335669566615,22379,0.667143303990348,0.007864515840743554,0
size_50,0.5,6,-0.14428108782663965,7.9825404786182e-90,-33.18479142025592,0.0500184418396962,22380,0.6681858802502234,0.009159964253798034,0
size_50,0.5,7,-0.08840571696684905,1.2633305370370962e-34,-50.215573964645046,0.044631003784240245,22403,0.6645092175155113,0.007365085033254475,0
size_50,0.5,8,-0.1119868848979392,1.2522448535409469e-54,-14.91306981947298,0.05157411469713104,22408,0.666146019278829,0.009416279900035702,0
size_50,0.5,9,-0.21867588750319258,1.406096432350877e-206,-41.13239613226722,0.05399072227940107,22406,0.6650450772114612,0.00932785860930108,0
size_50,1.0,0,-0.23767772039869897,9.38812629515505e-245,-19.99935897385774,0.05676109153830166,22401,0.6669791527163966,0.009240658899156288,0
size_50,1.0,1,-0.22291787616879088,8.517257333991043e-215,-25.65713075135301,0.056343609901615625,22407,0.6669344401303164,0.009059668853483286,0
size_50,1.0,2,-0.2386945034989811,6.761688965230419e-247,-26.43724393155395,0.056183449025182214,22395,0.6667113194909579,0.008885912033936147,0
size_50,1.0,3,-0.19727753164915054,9.55713238390064e-168,-34.17437943588129,0.05559950386060971,22398,0.6669791945709438,0.00794713813733369,0
size_50,1.0,4,-0.26069844477730647,8.504709897029505e-296,-29.1236250184686,0.0552339724120828,22382,0.6674113126619605,0.008667679385220266,0
size_50,1.0,5,-0.21936129415752448,6.791774596320505e-208,-18.319714133610148,0.05742495368790811,22387,0.6678429445660428,0.009469781569660964,0
size_50,1.0,6,-0.24859829992181398,2.650523295443502e-268,-22.37144337980243,0.05582404063096128,22398,0.6684078935619252,0.008706134476292525,0
size_50,1.0,7,-0.23358456973812797,3.120705198790309e-236,-32.65148893956291,0.05486446988238297,22400,0.6658035714285714,0.007142857142857143,0
