variant,epsilon,rho_mean,rho_sd,qini_mean,qini_sd,auuc_mean,auuc_sd,n_reps,n_degenerate
imbalance_05,0.1,0.19085098096074976,0.10073304153283073,0.5498953642084586,20.39716376301449,0.04947911096924261,0.003248327832425735,10,3
imbalance_05,0.5,0.16673173904591576,0.027352734424082707,14.683336056391624,6.186265574525092,0.054830491061809074,0.00154176424260719,10,0
imbalance_05,1.0,0.17220173289886015,0.023130112156649184,10.08553508875483,2.970530808892464,0.054853833248610616,0.0009111311101581664,10,0
imbalance_05,10.0,0.1881619732872919,0.01829228659903165,6.52570303760408,2.1627671176724905,0.054457963232866356,0.00032936691455550613,10,0
imbalance_05,2.0,0.17981838664370958,0.019352753994600725,7.665726442875678,1.5325025785303594,0.05446343304581373,0.0006024638891952538,10,0
imbalance_05,5.0,0.1746584396532156,0.021110140137020526,7.031104933634333,2.994034629391207,0.054376186421170036,0.0004911873319739961,10,0
imbalance_05,inf,0.1788967846509722,0.019632562582601536,6.6221834132141115,2.243129431771935,0.054391366093459056,0.0004568906445783412,10,0
imbalance_20,0.1,0.11404848940079318,0.13642223004655113,-9.423427629321122,17.44195742475684,0.049493449851508,0.0016492925627887634,10,3
imbalance_20,0.5,0.24387216215302346,0.1769189738886486,19.70195161190719,22.685214355181365,0.05655353870379903,0.005121918670473899,10,0
imbalance_20,1.0,0.33458232903538765,0.17371049372504258,31.27509574350835,21.449634682958305,0.05881947393904076,0.0047707256887579595,10,0
imbalance_20,10.0,0.4168599088909891,0.027601735324333524,40.18729595629774,4.708286568020152,0.06133160059144245,0.0007404170393452059,10,0
imbalance_20,2.0,0.4002677277308034,0.12172274075495389,40.681735367210294,17.668504671001887,0.06070366933139807,0.0037684268159998693,10,0
imbalance_20,5.0,0.4245836309266785,0.038583744171532236,41.28255384815036,5.70704779805501,0.06139165217797158,0.000785708542795962,10,0
imbalance_20,inf,0.42139396275232316,0.03481664395768796,40.98133222430604,4.923676387272829,0.061319583823085055,0.0007450631010623525,10,0
imbalance_baseline,0.1,0.12317280361444607,0.18762094922352265,-0.9516986801896508,14.700976769034503,0.05156525605234872,0.00217007524782672,10,2
imbalance_baseline,0.5,0.3713005090426275,0.02387097395789434,6.979215587254259,6.331244682911927,0.05224645214753672,0.0009028895007381735,10,0
imbalance_baseline,1.0,0.37612112210341914,0.02024636728148806,9.948326726334324,3.8813730675119618,0.052591521842084085,0.0005348318486897483,10,0
imbalance_baseline,10.0,0.3848722102812882,0.0032288449244211224,11.283402816919113,1.0843385261958163,0.05260780459157224,0.00020309023394192706,10,0
imbalance_baseline,2.0,0.3814157279707572,0.011695888594201169,9.657375279374127,2.738392063865475,0.052427530648167464,0.00037725507809859357,10,0
imbalance_baseline,5.0,0.3832549048613822,0.005664952125304431,11.091190659154757,1.277985459057852,0.05258731655490082,0.00023752737248729791,10,0
imbalance_baseline,inf,0.383901442421474,0.00217178524624386,10.97381158052824,1.6892639011746762,0.05248927580035202,0.0003774309363242257,10,0
size_100,0.1,0.12317280361444607,0.18762094922352265,-0.9516986801896508,14.700976769034503,0.05156525605234872,0.00217007524782672,10,2
size_100,0.5,0.3713005090426275,0.02387097395789434,6.979215587254259,6.331244682911927,0.05224645214753672,0.0009028895007381735,10,0
size_100,1.0,0.37612112210341914,0.02024636728148806,9.948326726334324,3.8813730675119618,0.052591521842084085,0.0005348318486897483,10,0
size_100,10.0,0.3848722102812882,0.0032288449244211224,11.283402816919113,1.0843385261958163,0.05260780459157224,0.00020309023394192706,10,0
size_100,2.0,0.3814157279707572,0.011695888594201169,9.657375279374127,2.738392063865475,0.052427530648167464,0.00037725507809859357,10,0
size_100,5.0,0.3832549048613822,0.005664952125304431,11.091190659154757,1.277985459057852,0.05258731655490082,0.00023752737248729791,10,0
size_100,inf,0.383901442421474,0.00217178524624386,10.97381158052824,1.6892639011746762,0.05248927580035202,0.0003774309363242257,10,0
size_25,0.1,0.3036535878586034,0.2751095239556914,-6.713080294778161,35.74480006243406,0.05435162807919439,0.005464479852318539,10,9
size_25,0.5,-0.07292948183559463,0.05607432495837921,-19.677636395900805,9.325355340349526,0.0505361380271767,0.001989200189040538,10,0
size_25,1.0,-0.10127127057587257,0.07150387106105244,-31.08384418687,5.549754509318766,0.0497587027612436,0.0010683918444563325,10,0
size_25,10.0,-0.22578749057986477,0.05434440696257697,-36.07170362078136,9.227871563543482,0.049478914844618624,0.001377610963013398,10,0
