variant,epsilon,rep,spearman_rho,qini_coef,is_degenerate
size_60,0.1,0,0.39984426554412683,-23.905196924012557,1
size_60,0.1,1,0.4635791652952593,-13.907853273806495,1
size_60,0.1,2,0.24160677546724985,-33.6235159658504,1
size_60,0.1,3,0.17267805242733286,19.477651248945676,0
size_60,0.1,4,0.07971710553015728,-5.336082970671441,0
size_60,0.1,5,0.06990375054397399,-24.883715512598087,1
size_60,0.1,6,0.5269178754859692,5.597340210553739,1
size_60,0.1,7,0.3267714466079171,-29.903925816076992,1
size_60,0.1,8,0.538186765760061,2.0488946598613893,1
size_60,0.1,9,0.4148057360199684,-12.920929425366865,1
size_60,0.5,0,0.3250436036846923,36.9692409077868,0
size_60,0.5,1,-0.21368022318844462,-30.45713450370107,0
size_60,0.5,2,0.23825104159062696,27.56805156977157,0
size_60,0.5,3,0.26300060240562756,-1.7701702393450205,0
size_60,0.5,4,0.37051679097735474,0.6596815663552889,0
size_60,0.5,5,0.3823017030056763,20.85480054315235,0
size_60,0.5,6,-0.28422948085894917,-22.640036460316082,0
size_60,0.5,7,-0.23178657849723108,-43.8360192589268,0
size_60,0.5,8,-0.24949656320995395,-27.61414916678325,0
size_60,0.5,9,0.33570963894476485,18.87234120727112,0
size_60,1.0,0,0.30365190070015097,44.51708920973192,0
size_60,1.0,1,0.3403681615390291,28.515669571349008,0
size_60,1.0,2,0.23708138982753502,21.664951270287133,0
size_60,1.0,3,0.26831888933801956,10.22822563182126,0
size_60,1.0,4,0.37448354955334556,3.300321529332223,0
size_60,1.0,5,0.2635491184103384,38.87862326346419,0
size_60,1.0,6,-0.2523955679134701,-15.818136193039493,0
size_60,1.0,7,0.2658600609576444,21.76217461083081,0
size_60,1.0,8,0.28994730708672106,34.477831830700325,0
size_60,1.0,9,0.319505592394735,12.44411854605903,0
size_60,2.0,0,0.28168359553306654,42.75230358998101,0
size_60,2.0,1,0.3085528361807691,33.381226845862216,0
size_60,2.0,2,0.2264157011561361,23.266566030774015,0
size_60,2.0,3,0.26323016505397323,13.71978558457306,0
size_60,2.0,4,0.30016517546489785,32.8752602214355,0
size_60,2.0,5,0.2699770075892505,36.23092888596693,0
size_60,2.0,6,0.2679677774810037,35.14597494213183,0
size_60,2.0,7,0.25894040038772337,37.28132370334879,0
size_60,2.0,8,0.2891403098163873,30.164657727218355,0
size_60,2.0,9,0.2900695661641843,21.99048623396368,0
size_60,5.0,0,0.2723634811954119,37.44562026705785,0
size_60,5.0,1,0.2914610022093085,37.23031053026148,0
size_60,5.0,2,0.23847761683978352,31.31246350255128,0
size_60,5.0,3,0.2624583257752406,40.27500334193519,0
size_60,5.0,4,0.27082723297108546,27.215218273310143,0
size_60,5.0,5,0.2794375463344613,31.548636295056554,0
size_60,5.0,6,0.2597608331359619,34.4755053748479,0
size_60,5.0,7,0.26687238081449705,32.29741736821268,0
size_60,5.0,8,0.26397964628267523,37.36299356081429,0
size_60,5.0,9,0.26367996897759854,23.117372668365192,0
size_60,10.0,0,0.27703074231000213,43.66339248232691,0
size_60,10.0,1,0.28163575047611467,34.67242860571355,0
size_60,10.0,2,0.24606719491608256,31.41193825198434,0
size_60,10.0,3,0.2702186478981773,39.04573408828492,0
size_60,10.0,4,0.271761052944955,35.79265462215028,0
size_60,10.0,5,0.2799816357236749,32.22263306960065,0
size_60,10.0,6,0.2658963157188001,34.280514603279016,0
size_60,10.0,7,0.26425725196259153,34.26299113742277,0
size_60,10.0,8,0.2606098079919677,28.635932329528146,0
size_60,10.0,9,0.26450193682682926,34.49184685103728,0
size_60,inf,0,0.2829013841270422,38.31327572957787,0
size_60,inf,1,0.2665465970269131,31.542482444092002,0
size_60,inf,2,0.24368938880895083,37.68421332411924,0
size_60,inf,3,0.264171959964964,32.09623522219772,0
size_60,inf,4,0.2564412770346979,34.32649962984658,0
size_60,inf,5,0.2715698784432431,31.463758179923616,0
size_60,inf,6,0.2666337819853827,33.43828129946951,0
size_60,inf,7,0.26146331672275197,40.691701603894444,0
size_60,inf,8,0.2670264550371102,29.839291619208666,0
size_60,inf,9,0.25862346924790797,23.078761005910906,0
size_70,0.1,0,0.10791144031619103,10.450101977878376,0
size_70,0.1,1,-0.1236554349001338,-16.447142313275663,0
size_70,0.1,2,0.2850587026494429,-33.083628114155715,1
size_70,0.1,3,0.10426340387129816,-41.84669312593269,1
size_70,0.1,4,0.09903967478108446,9.421189353650334,0
size_70,0.1,5,0.0583737463978989,13.239710162375104,0
