variant,epsilon,rho_mean,rho_sd,qini_mean,qini_sd,n_degenerate,n_reps
imbalance_10,0.1,0.17423893334766183,0.13016969852794408,-11.436789428384424,15.59747821580028,4,10
imbalance_10,0.5,0.15764494434537793,0.04430335801062095,10.183109273850345,3.708876604060708,0,10
imbalance_10,1.0,0.1657560684578376,0.03792936849449934,12.907638608222863,2.7652037240443774,0,10
imbalance_10,2.0,0.1914976786383458,0.030216517100093696,11.399474202215652,4.1635839575572415,0,10
imbalance_10,5.0,0.1975618143880243,0.01824475945954439,11.637335551388095,4.484375773356563,0,10
imbalance_10,10.0,0.20234560467004686,0.028260243727754764,12.108260872624294,3.26561991277295,0,10
imbalance_10,inf,0.20526313245398153,0.01411557311820615,12.330711327948256,3.7033985498032584,0,10
imbalance_35,0.1,0.22127379830753116,0.09283472009105907,9.296712708499712,21.95772294913497,2,10
imbalance_35,0.5,0.2546534594014004,0.10568748447681675,15.6189878197216,16.33478793014701,0,10
imbalance_35,1.0,0.2633576177896503,0.08235300594628008,15.001537055610669,16.95774543004177,0,10
imbalance_35,2.0,0.29520586158084033,0.04686069314142463,21.338705236636436,14.806362530981552,0,10
imbalance_35,5.0,0.3084222162497861,0.016302295960105448,27.23631022225636,3.887155976980035,0,10
imbalance_35,10.0,0.3071958861598182,0.016200884210389413,26.190241862290428,4.313892386517486,0,10
imbalance_35,inf,0.30842364625333163,0.015498329998053052,27.435321634866888,4.179078876326864,0,10
size_60,0.1,0.3234010938682016,0.17463044100426545,-11.735733376902203,17.133231615054672,8,10
size_60,0.5,0.0935630534854164,0.2948828778797493,-2.1393393834735095,27.88858243725014,0,10
size_60,1.0,0.24103704018940492,0.17810841030980917,19.99708692705364,18.13495280714126,0,10
size_60,2.0,0.27561425348273916,0.0237078816915392,30.68085137652554,8.631805671350696,0,10
size_60,5.0,0.2669318034536024,0.01375629728514733,33.22805411824125,5.247807621294895,0,10
size_60,10.0,0.2681960336769195,0.010520161549308956,34.848006604132785,4.141058512973795,0,10
size_60,inf,0.26390675083989634,0.010231142309349782,33.24745000582406,4.993291627492949,0,10
size_70,0.1,0.21030571747901594,0.23093917775479686,-10.218038006596242,22.63142366286917,6,10
size_70,0.5,0.3085780809304711,0.04925285979752388,19.68107729915364,11.764334652961345,0,10
size_70,1.0,0.3257193982180969,0.048871754467873105,21.958565008259153,10.579650932905427,0,10
size_70,2.0,0.2866681822933956,0.03962000208027176,28.158234019882844,7.510551615661714,0,10
size_70,5.0,0.2749736240084788,0.01590554282215015,31.552662564620697,4.228461783332728,0,10
size_70,10.0,0.27099272563762455,0.011433555273365639,33.86751803276901,5.676195921836581,0,10
size_70,inf,0.27136536081352175,0.00822465609222424,32.55589787046434,3.7625495854160147,0,10
