variant,rho_treated_mean,rho_treated_sd,rho_control_mean,rho_control_sd,n_reps_used
size_25,-0.32424126039430423,0.03658339275159436,-0.3458328125082263,0.025833627090225235,10
size_50,-0.16703410701442292,0.015568237750139524,-0.1320926021991674,0.012012912971842026,10
size_75,0.5875112555864581,0.007587256936868771,0.6215845056628135,0.0025186383160185786,10
size_100,0.5922391255565296,0.0064205336209666106,0.619750200366015,0.004059257258463021,10
